date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:46	70/70	---M-Z	200	added ('OK')	text/plain	etag:%225142-1666101929;gz%22	https://actionrefund.com/robots.txt		(from )
17:21:46	337377/337377	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202022%2014:21:45%20GMT	https://actionrefund.com/	C:/My%20Web%20Sites/Action/actionrefund.com/index.html	(from )
17:21:46	109468/109468	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20Oct%202022%2012:15:25%20GMT	https://actionrefund.com/wp-content/themes/coelix/newmain8-styles.css?1994490935	C:/My%20Web%20Sites/Action/actionrefund.com/wp-content/themes/coelix/newmain8-styles2514.css	(from https://actionrefund.com/)
17:21:47	537/537	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Sep%202022%2009:15:17%20GMT	https://actionrefund.com/wp-content/uploads/2022/09/favicon-diy.png	C:/My%20Web%20Sites/Action/actionrefund.com/wp-content/uploads/2022/09/favicon-diy.png	(from https://actionrefund.com/)
17:21:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Oct%202022%2014:21:46%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/Action/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.2.delayed	(from https://actionrefund.com/)
17:21:48	19295/19295	---M-Z	200	added ('OK')	application/x-javascript	etag:%225add60196e5f96a414fb4b9586764e5d%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/Action/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://actionrefund.com/)
17:21:49	1798796/1798796	---M-Z	200	added ('OK')	application/javascript	etag:%2240c07db524bda9e9a92c7b1af0cd5b4a%22	https://cdn.landbot.io/landbot-3/landbot-3.0.0.js	C:/My%20Web%20Sites/Action/cdn.landbot.io/landbot-3/landbot-3.0.0.js	(from https://actionrefund.com/)
17:21:49	176415/176415	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Nov%202021%2008:29:04%20GMT	https://actionrefund.com/wp-content/uploads/2021/11/popup-image.svg	C:/My%20Web%20Sites/Action/actionrefund.com/wp-content/uploads/2021/11/popup-image.svg	(from https://actionrefund.com/)
17:21:50	68744/68744	---M--	200	added ('OK')	image/webp	date:Tue,%2004%20Oct%202022%2013:12:24%20GMT	https://actionrefund.com/wp-content/uploads/2022/10/Money-Back-big.webp	C:/My%20Web%20Sites/Action/actionrefund.com/wp-content/uploads/2022/10/Money-Back-big.webp	(from https://actionrefund.com/)
17:21:50	9580/9580	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Oct%202021%2011:21:17%20GMT	https://actionrefund.com/wp-content/uploads/2021/10/logo.svg	C:/My%20Web%20Sites/Action/actionrefund.com/wp-content/uploads/2021/10/logo.svg	(from https://actionrefund.com/)
17:21:50	346/346	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Oct%202021%2011:20:16%20GMT	https://actionrefund.com/wp-content/uploads/2021/10/en.png	C:/My%20Web%20Sites/Action/actionrefund.com/wp-content/uploads/2021/10/en.png	(from https://actionrefund.com/)
17:21:50	624/624	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Oct%202021%2011:20:27%20GMT	https://actionrefund.com/wp-content/uploads/2021/10/france.svg	C:/My%20Web%20Sites/Action/actionrefund.com/wp-content/uploads/2021/10/france.svg	(from https://actionrefund.com/)
17:21:51	190825/190825	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202022%2014:21:50%20GMT	https://actionrefund.com/about/	C:/My%20Web%20Sites/Action/actionrefund.com/about/index.html	(from https://actionrefund.com/)
17:21:51	533/533	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Oct%202021%2011:20:29%20GMT	https://actionrefund.com/wp-content/uploads/2021/10/germany.svg	C:/My%20Web%20Sites/Action/actionrefund.com/wp-content/uploads/2021/10/germany.svg	(from https://actionrefund.com/)
